Date,Series,Value
3/31/2006,Liquid Asset Share,6.71
6/30/2006,Liquid Asset Share,6.65
9/30/2006,Liquid Asset Share,6.52
12/31/2006,Liquid Asset Share,6.82
3/31/2007,Liquid Asset Share,6.4
6/30/2007,Liquid Asset Share,6.66
9/30/2007,Liquid Asset Share,6.05
12/31/2007,Liquid Asset Share,6.31
3/31/2008,Liquid Asset Share,6.22
6/30/2008,Liquid Asset Share,6.72
9/30/2008,Liquid Asset Share,8.12
12/31/2008,Liquid Asset Share,11.74
3/31/2009,Liquid Asset Share,11.1
6/30/2009,Liquid Asset Share,10.55
9/30/2009,Liquid Asset Share,11.24
12/31/2009,Liquid Asset Share,12.03
3/31/2010,Liquid Asset Share,12.28
6/30/2010,Liquid Asset Share,12.37
9/30/2010,Liquid Asset Share,11.93
12/31/2010,Liquid Asset Share,12.32
3/31/2011,Liquid Asset Share,13.27
6/30/2011,Liquid Asset Share,14.11
9/30/2011,Liquid Asset Share,14.25
12/31/2011,Liquid Asset Share,13.84
3/31/2012,Liquid Asset Share,14.12
6/30/2012,Liquid Asset Share,14.08
9/30/2012,Liquid Asset Share,14.06
12/31/2012,Liquid Asset Share,14.9
3/31/2013,Liquid Asset Share,15.16
6/30/2013,Liquid Asset Share,15.29
9/30/2013,Liquid Asset Share,16.26
12/31/2013,Liquid Asset Share,16.49
3/31/2014,Liquid Asset Share,17.22
6/30/2014,Liquid Asset Share,17.45
9/30/2014,Liquid Asset Share,17.85
12/31/2014,Liquid Asset Share,18.55
3/31/2015,Liquid Asset Share,19.01
6/30/2015,Liquid Asset Share,18.35
9/30/2015,Liquid Asset Share,18.1
12/31/2015,Liquid Asset Share,18.14
3/31/2016,Liquid Asset Share,18.28
6/30/2016,Liquid Asset Share,18.23
9/30/2016,Liquid Asset Share,18.18
12/31/2016,Liquid Asset Share,18.26
3/31/2017,Liquid Asset Share,18.72
6/30/2017,Liquid Asset Share,18.12
9/30/2017,Liquid Asset Share,18.35
12/31/2017,Liquid Asset Share,18.41
3/31/2018,Liquid Asset Share,18.34
6/30/2018,Liquid Asset Share,17.96
9/30/2018,Liquid Asset Share,18.04
12/31/2018,Liquid Asset Share,17.62
3/31/2019,Liquid Asset Share,17.12
6/30/2019,Liquid Asset Share,17.15
9/30/2019,Liquid Asset Share,17.69
12/31/2019,Liquid Asset Share,18.03