Year,Selector,Union_Membership
1994,Overall,15.5
1995,Overall,14.9
1996,Overall,14.5
1997,Overall,14.1
1998,Overall,13.9
1999,Overall,13.9
2000,Overall,13.5
2001,Overall,13.4
2002,Overall,13.2
2003,Overall,12.9
2004,Overall,12.5
2005,Overall,12.5
2006,Overall,12
2007,Overall,12.1
2008,Overall,12.4
2009,Overall,12.3
2010,Overall,11.9
2011,Overall,11.8
2012,Overall,11.3
2013,Overall,11.3
2014,Overall,11.1
2015,Overall,11.1
2016,Overall,10.7
2017,Overall,10.7
2018,Overall,10.5
2019,Overall,10.3
2020,Overall,10.8
2021,Overall,10.3
2022,Overall,10.1
1994,Male,17.9
1995,Male,17.2
1996,Male,16.9
1997,Male,16.3
1998,Male,16.2
1999,Male,16.1
2000,Male,15.2
2001,Male,15
2002,Male,14.7
2003,Male,14.3
2004,Male,13.8
2005,Male,13.5
2006,Male,13
2007,Male,13
2008,Male,13.4
2009,Male,13.3
2010,Male,12.6
2011,Male,12.4
2012,Male,12
2013,Male,11.9
2014,Male,11.7
2015,Male,11.5
2016,Male,11.2
2017,Male,11.4
2018,Male,11.1
2019,Male,10.8
2020,Male,11
2021,Male,10.6
2022,Male,10.5
1994,Female,12.9
1995,Female,12.3
1996,Female,12
1997,Female,11.6
1998,Female,11.4
1999,Female,11.4
2000,Female,11.5
2001,Female,11.6
2002,Female,11.6
2003,Female,11.4
2004,Female,11.1
2005,Female,11.3
2006,Female,10.9
2007,Female,11.1
2008,Female,11.4
2009,Female,11.3
2010,Female,11.1
2011,Female,11.2
2012,Female,10.5
2013,Female,10.5
2014,Female,10.5
2015,Female,10.6
2016,Female,10.2
2017,Female,10
2018,Female,9.9
2019,Female,9.7
2020,Female,10.5
2021,Female,9.9
2022,Female,9.6
1994,White,14.8
1995,White,14.2
1996,White,14
1997,White,13.6
1998,White,13.5
1999,White,13.5
2000,White,13
2001,White,13
2002,White,12.8
2003,White,12.5
2004,White,12.2
2005,White,12.2
2006,White,11.7
2007,White,11.8
2008,White,12.2
2009,White,12.1
2010,White,11.7
2011,White,11.6
2012,White,11.1
2013,White,11
2014,White,10.8
2015,White,10.8
2016,White,10.5
2017,White,10.6
2018,White,10.4
2019,White,10.3
2020,White,10.7
2021,White,10.3
2022,White,10
1994,Black,20.6
1995,Black,19.9
1996,Black,18.9
1997,Black,17.9
1998,Black,17.7
1999,Black,17.2
2000,Black,17.1
2001,Black,16.9
2002,Black,16.9
2003,Black,16.5
2004,Black,15.1
2005,Black,15.1
2006,Black,14.5
2007,Black,14.3
2008,Black,14.5
2009,Black,13.9
2010,Black,13.4
2011,Black,13.5
2012,Black,13.4
2013,Black,13.6
2014,Black,13.2
2015,Black,13.6
2016,Black,13
2017,Black,12.6
2018,Black,12.5
2019,Black,11.2
2020,Black,12.3
2021,Black,11.5
2022,Black,11.6
1994,Asian,
1995,Asian,
1996,Asian,
1997,Asian,
1998,Asian,
1999,Asian,
2000,Asian,
2001,Asian,
2002,Asian,
2003,Asian,11.4
2004,Asian,11.4
2005,Asian,11.2
2006,Asian,10.4
2007,Asian,10.9
2008,Asian,10.6
2009,Asian,11.4
2010,Asian,10.9
2011,Asian,10.1
2012,Asian,9.6
2013,Asian,9.4
2014,Asian,10.4
2015,Asian,9.8
2016,Asian,9
2017,Asian,8.9
2018,Asian,8.4
2019,Asian,8.8
2020,Asian,8.9
2021,Asian,7.7
2022,Asian,8.3
1994,Hispanic,14.2
1995,Hispanic,13
1996,Hispanic,12.9
1997,Hispanic,11.8
1998,Hispanic,11.9
1999,Hispanic,11.9
2000,Hispanic,11.4
2001,Hispanic,11.1
2002,Hispanic,10.5
2003,Hispanic,10.7
2004,Hispanic,10.1
2005,Hispanic,10.4
2006,Hispanic,9.8
2007,Hispanic,9.8
2008,Hispanic,10.6
2009,Hispanic,10.2
2010,Hispanic,10
2011,Hispanic,9.7
2012,Hispanic,9.8
2013,Hispanic,9.4
2014,Hispanic,9.2
2015,Hispanic,9.4
2016,Hispanic,8.8
2017,Hispanic,9.3
2018,Hispanic,9.1
2019,Hispanic,8.9
2020,Hispanic,9.8
2021,Hispanic,9
2022,Hispanic,8.8
1994,Full-Time,17.3
1995,Full-Time,16.6
1996,Full-Time,16.2
1997,Full-Time,15.6
1998,Full-Time,15.5
1999,Full-Time,15.3
2000,Full-Time,14.8
2001,Full-Time,14.7
2002,Full-Time,14.6
2003,Full-Time,14.2
2004,Full-Time,13.9
2005,Full-Time,13.7
2006,Full-Time,13.1
2007,Full-Time,13.2
2008,Full-Time,13.7
2009,Full-Time,13.6
2010,Full-Time,13.2
2011,Full-Time,13.1
2012,Full-Time,12.5
2013,Full-Time,12.5
2014,Full-Time,12.3
2015,Full-Time,12.2
2016,Full-Time,11.8
2017,Full-Time,11.8
2018,Full-Time,11.6
2019,Full-Time,11.2
2020,Full-Time,11.8
2021,Full-Time,11.1
2022,Full-Time,11
1994,Part-Time,7.9
1995,Part-Time,7.5
1996,Part-Time,7.1
1997,Part-Time,7
1998,Part-Time,6.5
1999,Part-Time,6.9
2000,Part-Time,6.8
2001,Part-Time,6.8
2002,Part-Time,6.9
2003,Part-Time,6.8
2004,Part-Time,6.4
2005,Part-Time,6.5
2006,Part-Time,6.3
2007,Part-Time,6.5
2008,Part-Time,6.7
2009,Part-Time,7
2010,Part-Time,6.4
2011,Part-Time,6.4
2012,Part-Time,6
2013,Part-Time,6
2014,Part-Time,5.8
2015,Part-Time,5.9
2016,Part-Time,5.7
2017,Part-Time,5.7
2018,Part-Time,5.4
2019,Part-Time,5.5
2020,Part-Time,5.8
2021,Part-Time,6.1
2022,Part-Time,5.5