Month,Job openings rate,Unemployment rate,Period
2001 MAY,2.6,5.2,
2001 JUN,2.5,5.1,
2001 JUL,2.5,5.0,
2001 AUG,2.5,4.9,
2001 SEP,2.4,5.0,
2001 OCT,2.4,5.0,
2001 NOV,2.3,5.1,
2001 DEC,2.3,5.1,
2002 JAN,2.3,5.1,
2002 FEB,2.3,5.1,
2002 MAR,2.3,5.2,
2002 APR,2.3,5.2,
2002 MAY,2.3,5.1,
2002 JUN,2.3,5.2,
2002 JUL,2.3,5.2,
2002 AUG,2.3,5.2,
2002 SEP,2.3,5.2,
2002 OCT,2.3,5.2,
2002 NOV,2.3,5.2,
2002 DEC,2.3,5.3,
2003 JAN,2.2,5.2,
2003 FEB,2.2,5.2,
2003 MAR,2.2,5.1,
2003 APR,2.2,5.0,
2003 MAY,2.2,5.1,
2003 JUN,2.1,5.2,
2003 JUL,2.2,5.1,
2003 AUG,2.2,5.0,
2003 SEP,2.3,4.9,
2003 OCT,2.3,5.1,
2003 NOV,2.3,5.1,
2003 DEC,2.3,5.0,
2004 JAN,2.3,5.0,
2004 FEB,2.3,4.9,
2004 MAR,2.3,4.9,
2004 APR,2.4,4.8,
2004 MAY,2.4,4.8,
2004 JUN,2.4,4.8,
2004 JUL,2.4,4.8,
2004 AUG,2.4,4.8,
2004 SEP,2.4,4.8,
2004 OCT,2.4,4.8,
2004 NOV,2.5,4.7,
2004 DEC,2.4,4.7,
2005 JAN,2.4,4.7,
2005 FEB,2.3,4.7,
2005 MAR,2.3,4.7,
2005 APR,2.3,4.7,
2005 MAY,2.3,4.8,
2005 JUN,2.3,4.7,
2005 JUL,2.3,4.7,
2005 AUG,2.3,4.8,
2005 SEP,2.2,4.8,
2005 OCT,2.2,4.7,
2005 NOV,2.2,4.7,
2005 DEC,2.2,4.7,
2006 JAN,2.2,4.9,
2006 FEB,2.2,5.1,
2006 MAR,2.2,5.1,
2006 APR,2.2,5.1,
2006 MAY,2.2,5.2,
2006 JUN,2.2,5.2,
2006 JUL,2.2,5.3,
2006 AUG,2.2,5.4,
2006 SEP,2.2,5.5,
2006 OCT,2.2,5.5,
2006 NOV,2.2,5.5,
2006 DEC,2.2,5.5,
2007 JAN,2.2,5.5,
2007 FEB,2.3,5.4,
2007 MAR,2.3,5.5,
2007 APR,2.3,5.5,
2007 MAY,2.4,5.5,
2007 JUN,2.4,5.5,
2007 JUL,2.4,5.5,
2007 AUG,2.5,5.4,
2007 SEP,2.5,5.4,
2007 OCT,2.5,5.3,
2007 NOV,2.5,5.3,
2007 DEC,2.4,5.3,
2008 JAN,2.4,5.2,
2008 FEB,2.5,5.2,
2008 MAR,2.5,5.2,
2008 APR,2.4,5.2,
2008 MAY,2.3,5.2,
2008 JUN,2.3,5.2,
2008 JUL,2.2,5.3,
2008 AUG,2.2,5.2,
2008 SEP,2.1,5.4,
2008 OCT,2.0,5.5,
2008 NOV,1.9,5.7,
2008 DEC,1.8,5.9,
2009 JAN,1.7,6.0,
2009 FEB,1.7,6.2,
2009 MAR,1.7,6.4,
2009 APR,1.6,6.5,
2009 MAY,1.6,6.7,
2009 JUN,1.6,7.1,
2009 JUL,1.6,7.3,
2009 AUG,1.6,7.6,
2009 SEP,1.6,7.8,
2009 OCT,1.6,7.9,
2009 NOV,1.7,7.9,
2009 DEC,1.7,7.8,
2010 JAN,1.7,7.9,
2010 FEB,1.7,7.8,
2010 MAR,1.7,7.8,
2010 APR,1.8,7.7,
2010 MAY,1.8,7.9,
2010 JUN,1.8,8.0,
2010 JUL,1.7,8.0,
2010 AUG,1.7,7.9,
2010 SEP,1.7,7.9,
2010 OCT,1.8,7.8,
2010 NOV,1.8,7.8,
2010 DEC,1.8,7.8,
2011 JAN,1.8,7.9,
2011 FEB,1.8,7.9,
2011 MAR,1.7,7.9,
2011 APR,1.7,7.9,
2011 MAY,1.7,7.8,
2011 JUN,1.7,7.8,
2011 JUL,1.7,7.7,
2011 AUG,1.7,7.8,
2011 SEP,1.7,7.9,
2011 OCT,1.7,8.0,
2011 NOV,1.7,8.2,
2011 DEC,1.7,8.3,
2012 JAN,1.7,8.4,
2012 FEB,1.7,8.5,
2012 MAR,1.7,8.4,
2012 APR,1.7,8.4,
2012 MAY,1.7,8.3,
2012 JUN,1.8,8.2,
2012 JUL,1.8,8.2,
2012 AUG,1.8,8.1,
2012 SEP,1.8,8.0,
2012 OCT,1.8,8.0,
2012 NOV,1.8,7.9,
2012 DEC,1.8,7.9,
2013 JAN,1.8,7.9,
2013 FEB,1.8,7.8,
2013 MAR,1.9,7.8,
2013 APR,1.9,7.8,
2013 MAY,1.9,8.0,
2013 JUN,1.9,7.8,
2013 JUL,1.9,7.8,
2013 AUG,2.0,7.8,
2013 SEP,2.0,7.7,
2013 OCT,2.1,7.7,
2013 NOV,2.1,7.7,
2013 DEC,2.1,7.6,
2014 JAN,2.1,7.4,
2014 FEB,2.2,7.2,
2014 MAR,2.2,7.2,
2014 APR,2.3,7.2,
2014 MAY,2.3,6.9,
2014 JUN,2.4,6.8,
2014 JUL,2.4,6.6,
2014 AUG,2.4,6.4,
2014 SEP,2.5,6.3,
2014 OCT,2.5,6.1,
2014 NOV,2.5,6.0,
2014 DEC,2.5,6.0,
2015 JAN,2.5,6.0,
2015 FEB,2.5,5.9,
2015 MAR,2.5,5.7,
2015 APR,2.5,5.7,
2015 MAY,2.5,5.6,
2015 JUN,2.5,5.5,
2015 JUL,2.6,5.5,
2015 AUG,2.5,5.6,
2015 SEP,2.6,5.6,
2015 OCT,2.6,5.5,
2015 NOV,2.6,5.4,
2015 DEC,2.6,5.3,
2016 JAN,2.5,5.2,
2016 FEB,2.5,5.1,
2016 MAR,2.5,5.1,
2016 APR,2.5,5.1,
2016 MAY,2.5,5.1,
2016 JUN,2.5,5.1,
2016 JUL,2.5,5.0,
2016 AUG,2.6,4.9,
2016 SEP,2.6,4.9,
2016 OCT,2.6,4.9,
2016 NOV,2.6,5.0,
2016 DEC,2.6,4.8,
2017 JAN,2.6,4.8,
2017 FEB,2.6,4.8,
2017 MAR,2.6,4.7,
2017 APR,2.6,4.7,
2017 MAY,2.6,4.6,
2017 JUN,2.6,4.6,
2017 JUL,2.6,4.5,
2017 AUG,2.7,4.4,
2017 SEP,2.7,4.4,
2017 OCT,2.7,4.3,
2017 NOV,2.7,4.3,
2017 DEC,2.8,4.3,
2018 JAN,2.7,4.2,
2018 FEB,2.7,4.3,
2018 MAR,2.7,4.4,
2018 APR,2.7,4.3,
2018 MAY,2.8,4.2,
2018 JUN,2.8,4.2,
2018 JUL,2.8,4.2,
2018 AUG,2.8,4.2,
2018 SEP,2.9,4.0,
2018 OCT,2.9,4.0,
2018 NOV,2.8,4.0,
2018 DEC,2.9,4.1,
2019 JAN,2.8,4.1,
2019 FEB,2.8,4.0,
2019 MAR,2.8,4.0,
2019 APR,2.7,3.9,
2019 MAY,2.7,3.9,
2019 JUN,2.7,3.8,
2019 JUL,2.7,3.8,
2019 AUG,2.7,3.8,
2019 SEP,2.7,3.9,
2019 OCT,2.6,3.8,
2019 NOV,2.7,3.9,
2019 DEC,2.7,3.8,
2020 JAN,2.7,3.8,
2020 FEB,2.6,3.8,
2020 MAR,2.1,3.8,
2020 APR,1.6,3.9,
2020 MAY,1.1,4.0,
2020 JUN,1.2,4.0,
2020 JUL,1.4,4.1,
2020 AUG,1.6,4.1,
2020 SEP,1.8,4.1,
2020 OCT,1.8,4.3,
2020 NOV,2.0,4.6,
2020 DEC,2.1,4.9,
2021 JAN,2.1,5.1,
2021 FEB,2.1,5.1,
2021 MAR,2.2,5.2,
2021 APR,2.5,5.1,
2021 MAY,2.8,5.1,
2021 JUN,3.2,4.9,
2021 JUL,3.5,4.9,
2021 AUG,3.7,4.9,
2021 SEP,3.9,4.7,
2021 OCT,4.0,4.6,
2021 NOV,4.1,4.4,
2021 DEC,4.2,4.3,
2022 JAN,4.2,4.2,
2022 FEB,4.2,4.1,
2022 MAR,4.3,4.0,
2022 APR,4.3,4.0,
2022 MAY,4.2,3.8,
2022 JUN,4.2,3.7,
2022 JUL,4.1,3.8,
2022 AUG,4.1,3.8,
2022 SEP,4.0,3.8,
2022 OCT,3.9,3.6,
2022 NOV,3.8,3.5,
2022 DEC,3.7,3.6,
,,3.7,
,,3.7,
,,3.7,