Year,GDP-US $ billion nominal, ,Population-US million,Social Insurance Taxes -  percent GDP,,Income Taxes -  percent GDP,,Ad valorem Taxes -  percent GDP,,Business and Other Revenue -  percent GDP,
1792,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.173,0,,0,,1.63,a,0.03,a
1793,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.3,0,,0,,1.85,a,0.04,a
1794,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.432,0,,0,,1.72,a,0.04,a
1795,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.567,0,,0,,1.68,a,0.04,a
1796,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.707,0,,0,,2.01,a,0.05,a
1797,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.85,0,,0,,2.12,a,0.05,a
1798,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,4.998,0,,0,,1.91,a,0.06,a
1799,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.151,0,,0,,1.71,a,0.06,a
1800,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.308,0,,0,,2.26,a,0.06,a
1801,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.476,0,,0,,2.52,a,0.06,a
1802,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.648,0,,0,,3.33,a,0.07,a
1803,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,5.826,0,,0,,2.31,a,0.07,a
1804,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.01,0,,0,,2.22,a,0.07,a
1805,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.199,0,,0,,2.42,a,0.08,a
1806,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.395,0,,0,,2.52,a,0.07,a
1807,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.596,0,,0,,2.78,a,0.08,a
1808,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,6.804,0,,0,,2.64,a,0.07,a
1809,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,7.019,0,,0,,1.13,a,0.07,a
1810,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,7.24,0,,0,,1.33,a,0.08,a
1811,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,7.45,0,,0,,1.88,a,0.08,a
1812,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,7.666,0,,0,,1.25,a,0.08,a
1813,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,7.889,0,,0,,1.79,a,0.07,a
1814,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,8.118,0,,0,,1.04,a,0.07,a
1815,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,8.354,0,,0,,1.7,a,0.11,a
1816,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,8.596,0,,0,,5.82,a,0.12,a
1817,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,8.846,0,,0,,4.31,a,0.13,a
1818,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,9.102,0,,0,,2.93,a,0.15,a
1819,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,9.367,0,,0,,3.39,a,0.17,a
1820,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,9.638,0,,0,,2.51,a,0.16,a
1821,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,9.921,0,,0,,1.98,a,0.14,a
1822,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,10.212,0,,0,,2.51,a,0.14,a
1823,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,10.511,0,,0,,2.71,a,0.15,a
1824,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,10.819,0,,0,,2.57,a,0.16,a
1825,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,11.136,0,,0,,2.66,a,0.16,a
1826,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,11.462,0,,0,,2.92,a,0.17,a
1827,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,11.798,0,,0,,2.51,a,0.17,a
1828,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,12.144,0,,0,,2.76,a,0.19,a
1829,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,12.5,0,,0,,2.67,a,0.18,a
1830,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,12.866,0,,0,,2.43,a,0.18,a
1831,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,13.235,0,,0,,2.71,a,0.19,a
1832,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,13.614,0,,0,,2.82,a,0.2,a
1833,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,14.005,0,,0,,2.93,a,0.23,a
1834,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,14.406,0,,0,,1.79,a,0.23,a
1835,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,14.819,0,,0,,2.64,a,0.22,a
1836,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,15.244,0,,0,,3.44,a,0.23,a
1837,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,15.682,0,,0,,1.61,a,0.26,a
1838,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,16.131,0,,0,,1.65,a,0.27,a
1839,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,16.594,0,,0,,1.9,a,0.27,a
1840,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,17.07,0,,0,,1.24,a,0.29,a
1841,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,17.601,0,,0,,1.02,a,0.27,a
1842,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,18.149,0,,0,,1.23,a,0.28,a
1843,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,18.714,0,,0,,0.53,a,0.27,a
1844,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,19.296,0,,0,,1.72,a,0.25,a
1845,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,19.897,0,,0,,1.61,a,0.23,a
1846,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,20.516,0,,0,,1.44,a,0.17,a
1847,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,21.154,0,,0,,1.1,a,0.16,a
1848,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,21.813,0,,0,,1.47,a,0.19,a
1849,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,22.492,0,,0,,1.29,a,0.19,a
1850,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,23.192,0,,0,,1.69,a,0.21,a
1851,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,23.909,0,,0,,1.93,a,0.24,a
1852,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,24.648,0,,0,,1.63,a,0.17,a
1853,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,25.409,0,,0,,1.86,a,0.16,a
1854,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,26.195,0,,0,,1.99,a,0.17,a
1855,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,27.004,0,,0,,1.64,a,0.17,a
1856,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,27.839,0,,0,,1.83,a,0.17,a
1857,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,28.699,0,,0,,1.65,a,0.18,a
1858,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,29.586,0,,0,,1.14,a,0.18,a
1859,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,30.501,0,,0,,1.21,a,0.18,a
1860,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,31.443,0,,0,,1.28,a,0.19,a
1861,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,32.091,0,,0,,0.89,a,0.18,a
1862,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,32.753,0,,0,,0.89,a,0.14,a
1863,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,33.428,0,,0,,1.51,a,0.15,a
1864,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,34.117,0,,0,,2.85,a,0.13,a
1865,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,34.82,0,,0,,3.36,a,0.15,a
1866,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,35.537,0,,0,,6.15,a,0.16,a
1867,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,36.27,0,,0,,5.81,a,0.18,a
1868,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,37.017,0,,0,,4.92,a,0.2,a
1869,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,37.78,0,,0,,4.69,a,0.22,a
1870,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,38.558,0,,0,,5.26,a,0.24,a
1871,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,39.588,0,,0,,5,a,0.26,a
1872,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,40.646,0,,0,,4.51,a,0.26,a
1873,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,41.732,0,,0,,3.77,a,0.26,a
1874,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,42.847,0,,0,,3.56,a,0.31,a
1875,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,43.991,0,,0,,3.5,a,0.33,a
1876,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,45.166,0,,0,,3.51,a,0.34,a
1877,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,46.373,0,,0,,3.27,a,0.32,a
1878,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,47.612,0,,0,,3.05,a,0.35,a
1879,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,48.883,0,,0,,2.9,a,0.32,a
1880,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,50.189,0,,0,,3.19,a,0.32,a
1881,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,51.342,0,,0,,3.07,a,0.31,a
1882,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,52.521,0,,0,,3.27,a,0.34,a
1883,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,53.726,0,,0,,3.2,a,0.37,a
1884,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,54.96,0,,0,,2.93,a,0.36,a
1885,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,56.222,0,,0,,2.76,a,0.36,a
1886,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,57.513,0,,0,,2.74,a,0.36,a
1887,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,58.833,0,,0,,2.8,a,0.37,a
1888,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,60.184,0,,0,,2.71,a,0.38,a
1889,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,61.566,0,,0,,2.77,a,0.4,a
1890,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,62.98,0,,0,,2.65,a,0.4,a
1891,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,64.192,0,,0,,2.53,a,0.42,a
1892,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,65.428,0,,0,,2.15,a,0.43,a
1893,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,66.688,0,,0,,2.48,a,0.49,a
1894,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,67.972,0,,0,,2.15,a,0.53,a
1895,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,69.281,0,,0,,2.06,a,0.49,a
1896,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,70.615,0,,0,,2.16,a,0.53,a
1897,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,71.974,0,,0,,2.13,a,0.51,a
1898,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,73.36,0,,0,,2.22,a,0.49,a
1899,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,74.773,0,,0,,2.62,a,0.48,a
1900,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,76.212,0,,0,,2.73,a,0.49,a
1901,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,77.68,0,,0,,2.61,a,0.5,a
1902,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,79.176,0,a,0,a,2.6,a,0,
1903,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,80.701,0,i,0,i,2.56,i,0,
1904,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,82.255,0,i,0,i,2.56,i,0,
1905,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,83.839,0,i,0,i,2.34,i,0,
1906,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,85.453,0,i,0,i,2.35,i,0,
1907,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,87.099,0,i,0,i,2.3,i,0,
1908,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,88.776,0,i,0,i,2.5,i,0,
1909,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,90.486,0,i,0,i,2.45,i,0,
1910,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,92.229,0,i,0,i,2.52,i,0,
1911,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,93.523,0,i,0,i,2.47,i,0,
1912,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,94.836,0,i,0,i,2.33,i,0,
1913,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,96.167,0,a,0.09,a,2.31,a,0,
1914,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,97.516,0,i,0.11,i,2.52,i,0,
1915,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,98.885,0,i,0.12,i,2.28,i,0,
1916,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,100.273,0,i,0.24,i,2.05,i,0,
1917,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,101.68,0,i,0.62,i,2.19,i,0,
1918,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,103.107,0,i,3.55,i,1.94,i,0,
1919,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,104.554,0,i,3.39,i,1.73,i,0,
1920,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,106.022,0,i,4.52,i,1.75,i,0,
1921,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,107.626,0,i,4.58,i,2.4,i,0,
1922,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,109.254,0,a,3.01,a,2.89,a,0,
1923,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,110.908,0,i,1.95,i,2.58,i,0,
1924,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,112.586,0,i,2.03,i,2.46,i,0,
1925,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,114.29,0,i,1.86,i,2.33,i,0,
1926,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,116.019,0,i,1.94,i,2.21,i,0,
1927,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,117.775,0.03,a,2.22,a,2.29,a,0,
1928,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,119.557,0.03,i,2.12,i,2.09,i,0,
1929,"<a href=http://www.measuringworth.com/usgdp"">MW gdp</a>""",a,121.366,0.03,i,2.14,i,1.96,i,0,
1930,92.2,a,123.203,0.03,i,2.5,i,2.05,i,0,
1931,77.4,a,124.071,0.04,i,2.29,i,2.09,i,0,
1932,59.5,a,124.945,0.06,a,1.69,a,2.53,a,0,
1933,57.2,a,125.825,0.05,i,1.57,i,3.8,i,0,
1934,66.8,a,126.712,0.04,a,1.18,a,4.26,a,0,
1935,74.2,a,127.605,0.04,i,1.48,i,4.27,i,0,
1936,84.8,a,128.504,0.04,a,1.66,a,4.11,a,0,
1937,93,a,129.41,0.33,i,2.16,i,3.86,i,0,
1938,87.4,a,130.321,0.65,a,2.99,a,4.22,a,0,
1939,93.4,a,131.24,0.71,i,2.51,i,4.01,i,0,
1940,102.9,a,132.165,1.73,a,2.03,a,2.6,a,0,a
1941,129.3,a,133.966,1.5,a,2.66,a,2.58,a,0,a
1942,166,a,135.792,1.48,a,4.81,a,2.53,a,0,a
1943,203.1,a,137.643,1.5,a,7.91,a,2.41,a,0,a
1944,224.4,a,139.519,1.55,a,15.39,a,2.55,a,0,a
1945,228,a,141.421,1.51,a,15.07,a,3.22,a,0,a
1946,227.5,a,143.349,1.37,a,12.3,a,3.6,a,0,a
1947,249.6,a,145.303,1.37,a,10.64,a,3.42,a,0.01,a
1948,274.5,a,147.283,1.37,a,10.56,a,3.18,a,0.04,a
1949,272.5,a,149.291,1.39,a,9.81,a,3.19,a,0.07,a
1950,299.8,a,151.326,1.45,a,8.74,a,2.91,a,0.06,a
1951,346.9,a,153.917,1.64,a,10.3,a,2.89,a,0.05,a
1952,367.3,a,156.552,1.75,a,13.38,a,2.8,a,0.08,a
1953,389.2,a,159.232,1.75,a,13.12,a,2.94,a,0.08,a
1954,390.5,a,161.958,1.85,a,12.97,a,2.95,a,0.09,a
1955,425.5,a,164.731,1.85,a,10.95,a,2.52,a,0.06,a
1956,449.4,a,167.551,2.07,a,11.81,a,2.65,a,0.06,a
1957,474,a,170.42,2.11,a,11.98,a,2.69,a,0.09,a
1958,481.2,a,173.337,2.34,a,11.39,a,2.69,a,0.14,a
1959,521.7,a,176.305,2.25,a,10.36,a,2.49,a,0.09,a
1960,542.4,a,179.323,2.71,a,11.47,a,2.67,a,0.2,a
1961,562.2,a,181.588,2.92,a,11.08,a,2.64,a,0.14,a
1962,603.9,a,183.881,2.82,a,10.94,a,2.62,a,0.12,a
1963,637.5,a,186.204,3.11,a,10.85,a,2.63,a,0.13,a
1964,684.5,a,188.555,3.21,a,10.55,a,2.56,a,0.14,a
1965,742.3,a,190.937,3,a,10,a,2.55,a,0.18,a
1966,813.4,a,193.348,3.14,a,10.51,a,2.22,a,0.21,a
1967,860,a,195.79,3.79,a,11.1,a,2.2,a,0.21,a
1968,940.7,a,198.263,3.61,a,10.35,a,2.08,a,0.22,a
1969,1017.6,a,200.766,3.83,a,12.18,a,2.09,a,0.26,a
1970,1073.3,a,203.302,4.13,a,11.48,a,2.04,a,0.3,a
1971,1164.9,a,205.515,4.06,a,9.7,a,2,a,0.3,a
1972,1279.1,a,207.752,4.11,a,9.92,a,1.92,a,0.25,a
1973,1425.4,a,210.013,4.43,a,9.78,a,1.74,a,0.25,a
1974,1545.2,a,212.299,4.86,a,10.2,a,1.67,a,0.31,a
1975,1684.9,a,214.609,5.02,a,9.67,a,1.53,a,0.34,a
1976,1873.4,a,216.945,4.85,a,9.24,a,1.54,a,0.29,a
1977,2081.8,a,219.307,5.12,a,10.21,a,1.47,a,0.28,a
1978,2351.6,a,221.694,5.14,a,10.25,a,1.32,a,0.28,a
1979,2627.3,a,224.107,5.29,a,10.79,a,1.24,a,0.32,a
1980,2857.3,a,226.546,5.52,a,10.8,a,1.36,a,0.41,a
1981,3207,a,228.67,5.7,a,10.82,a,1.77,a,0.4,a
1982,3343.8,a,230.815,6.03,a,10.38,a,1.62,a,0.45,a
1983,3634,a,232.979,5.75,a,8.97,a,1.41,a,0.4,a
1984,4037.6,a,235.164,5.93,a,8.8,a,1.39,a,0.39,a
1985,4339,a,237.369,6.11,a,9.12,a,1.29,a,0.39,a
1986,4579.6,a,239.595,6.2,a,9,a,1.2,a,0.4,a
1987,4855.2,a,241.842,6.25,a,9.81,a,1.19,a,0.35,a
1988,5236.4,a,244.11,6.38,a,9.47,a,1.18,a,0.33,a
1989,5641.6,a,246.399,6.37,a,9.73,a,1.12,a,0.35,a
1990,5963.1,a,248.71,6.37,a,9.4,a,1.13,a,0.41,a
1991,6158.1,a,251.802,6.43,a,9.19,a,1.2,a,0.31,a
1992,6520.3,a,254.933,6.34,a,8.84,a,1.2,a,0.35,a
1993,6858.6,a,258.103,6.24,a,9.14,a,1.22,a,0.22,a
1994,7287.2,a,261.312,6.33,a,9.38,a,1.31,a,0.25,a
1995,7639.7,a,264.561,6.34,a,9.78,a,1.27,a,0.31,a
1996,8073.1,a,267.85,6.31,a,10.26,a,1.18,a,0.25,a
1997,8577.6,a,271.18,6.29,a,10.72,a,1.17,a,0.23,a
1998,9062.8,a,274.552,6.31,a,11.22,a,1.19,a,0.27,a
1999,9631.2,a,277.966,6.35,a,11.05,a,1.3,a,0.27,a
2000,10251,a,282.172,6.37,a,11.82,a,1.25,a,0.32,a
2001,10581.9,a,285.082,6.56,a,10.82,a,1.19,a,0.25,a
2002,10929.1,a,287.804,6.41,a,9.21,a,1.12,a,0.22,a
2003,11456.5,a,290.326,6.22,a,8.08,a,1.06,a,0.19,a
2004,12217.2,a,293.046,6,a,8.17,a,1.05,a,0.16,a
2005,13039.2,a,295.753,6.09,a,9.25,a,1.03,a,0.15,a
2006,13815.6,a,298.593,6.06,a,10.12,a,1.02,a,0.22,a
2007,14474.2,a,301.58,6.01,a,10.6,a,0.92,a,0.22,a
2008,14769.9,a,304.375,6.09,a,9.82,a,0.95,a,0.23,a
2009,14478.1,a,307.007,6.15,a,7.28,a,0.87,a,0.24,a
2010,15049,a,309.327,5.75,a,7.24,a,0.88,a,0.5,a
2011,15599.7,a,311.583,5.25,a,8.16,a,0.83,a,0.53,a
2012,16254,a,313.878,5.2,a,8.46,a,0.91,a,0.5,a
2013,16843.2,a,316.06,5.63,a,9.44,a,0.96,a,0.45,a
2014,17550.7,a,318.386,5.83,a,9.77,a,1.05,a,0.57,a
2015,18206,a,320.739,5.85,a,10.35,a,1.12,a,0.53,a
2016,18695.1,a,323.072,5.96,a,9.87,a,1.02,a,0.62,a
,,,,,,,,,,,
Legend:,,,,,,,,,,,
 a - actual reported,,,,,,,,,,,
 i - interpolated between actual reported values,,,,,,,,,,,
Data Sources for 1792:,,,,,,,,,,,
GDP: ,https://www.measuringworth.org/usgdp/,"Samuel H. Williamson, What Was the U.S. GDP Then?"" MeasuringWorth"," 2015.""",,,,,,,,
Federal: ,https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html,"Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",,,,,,,,,
State and Local: not available,,,,,,,,,,,
,,,,,,,,,,,
Data Sources for 2016:,,,,,,,,,,,
"GDP, GO: ",https://usgovernmentspending.blogspot.com/search/label/usgdp,"GDP, GO Sources",,,,,,,,,
Federal: ,https://www.govinfo.gov/app/collection/budget/2024/BUDGET-2024-TAB,"Fed. Budget: Hist. Tables 2.1, 2.4, 2.5, 7.1",,,,,,,,,
State and Local: ,https://www.census.gov/programs-surveys/gov-finances.html,State and Local Gov. Finances,,,,,,,,,
,https://usgovernmentspending.blogspot.com/2011/03/change-to-guesstimated-state-and-local.html,'Guesstimated', by projecting the latest change in reported revenue forward to future years,,,,,,,,