Year,Nominal_Balance,Nominal_Goods_Balance,Nominal_Goods_Exports,Nominal_Goods_Imports,Nominal_Services_Balance,Nominal_Services_Exports,Nominal_Services_Imports,Balance_GDP,Goods_Balance_GDP,Goods_Exports_GDP,Goods_Imports_GDP,Services_Balance_GDP,Services_Exports_GDP,Services_Imports_GDP,GDP
1960,3508000000,4892000000,19650000000,14758000000,-1385000000,6289000000,7675000000,0.006565293,0.009155477,0.036775371,0.027619894,-0.002592055,0.01176999,0.014363917,5.34325E+11
1961,4194000000,5571000000,20108000000,14537000000,-1377000000,6295000000,7671000000,0.007673238,0.010192563,0.036789096,0.026596533,-0.002519325,0.011517175,0.01403467,5.46575E+11
1962,3371000000,4521000000,20781000000,16260000000,-1151000000,6941000000,8092000000,0.005755752,0.007719298,0.035482136,0.027762838,-0.001965254,0.011851283,0.013816536,5.85675E+11
1963,4210000000,5224000000,22272000000,17048000000,-1014000000,7348000000,8363000000,0.006810094,0.00845034,0.036027176,0.027576836,-0.001640246,0.011886121,0.013527984,6.182E+11
1964,6022000000,6801000000,25501000000,18700000000,-780000000,7839000000,8619000000,0.009100801,0.010278072,0.038538613,0.028260541,-0.001178782,0.011846758,0.01302554,6.617E+11
1965,4664000000,4951000000,26461000000,21510000000,-287000000,8824000000,9111000000,0.006575265,0.006979875,0.03730448,0.030324604,-0.00040461,0.012439996,0.012844606,7.09325E+11
1966,2939000000,3817000000,29310000000,25493000000,-878000000,9616000000,10494000000,0.003765656,0.004890611,0.037554054,0.032663442,-0.001124956,0.012320702,0.013445658,7.80475E+11
1967,2604000000,3800000000,30666000000,26866000000,-1196000000,10667000000,11863000000,0.003112878,0.004542602,0.036658797,0.032116195,-0.001429724,0.012751562,0.014181286,8.36525E+11
1968,250000000,635000000,33626000000,32991000000,-385000000,11918000000,12301000000,0.000278528,0.000707462,0.037463165,0.036755703,-0.000428934,0.013277999,0.013704704,8.97575E+11
1969,90000000,607000000,36414000000,35807000000,-517000000,12806000000,13323000000,9.1811E-05,0.000619214,0.037146719,0.036527505,-0.000527403,0.013063681,0.013591084,9.80275E+11
1970,2255000000,2603000000,42469000000,39866000000,-348000000,14171000000,14519000000,0.002154441,0.002486923,0.040575155,0.038088232,-0.000332481,0.013539064,0.013871546,1.04668E+12
1971,-1301000000,-2260000000,43319000000,45579000000,959000000,16358000000,15401000000,-0.001165196,-0.002024092,0.038797188,0.04082128,0.000858896,0.014650486,0.013793381,1.11655E+12
1972,-5443000000,-6416000000,49381000000,55797000000,973000000,17842000000,16867000000,-0.004475231,-0.005275231,0.040601028,0.045876259,0.0008,0.014669681,0.013868037,1.21625E+12
1973,1900000000,911000000,71410000000,70499000000,989000000,19832000000,18843000000,0.001404572,0.000673455,0.052789739,0.052116284,0.000731117,0.014660777,0.013929661,1.35273E+12
1974,-4293000000,-5505000000,98306000000,1.03811E+11,1212000000,22591000000,21378000000,-0.002895101,-0.003712446,0.06629531,0.070007755,0.000817345,0.015234852,0.014416832,1.48285E+12
1975,12403000000,8903000000,1.07088E+11,98185000000,3500000000,25497000000,21996000000,0.007718469,0.005540395,0.066641567,0.061101171,0.002178073,0.015866951,0.013688256,1.60693E+12
1976,-6082000000,-9483000000,1.14745E+11,1.24228E+11,3402000000,27971000000,24570000000,-0.003405184,-0.005309333,0.064243323,0.069552657,0.001904709,0.015660377,0.013756229,1.7861E+12
1977,-27247000000,-31091000000,1.20816E+11,1.51907E+11,3845000000,31486000000,27640000000,-0.013459795,-0.0153587,0.059682116,0.075040816,0.001899399,0.015553827,0.013653934,2.02433E+12
1978,-29763000000,-33927000000,1.42075E+11,1.76002E+11,4164000000,36353000000,32189000000,-0.013091557,-0.014923134,0.062493127,0.077416262,0.001831578,0.015990235,0.014158658,2.27345E+12
1979,-24566000000,-27568000000,1.84439E+11,2.12007E+11,3003000000,39693000000,36689000000,-0.009575241,-0.010745349,0.071889927,0.082635277,0.001170498,0.015471386,0.014300498,2.56558E+12
1980,-19407000000,-25500000000,2.2425E+11,2.4975E+11,6093000000,47585000000,41492000000,-0.00695118,-0.009133565,0.080321645,0.08945521,0.002182385,0.017043949,0.014861564,2.7919E+12
1981,-16172000000,-28023000000,2.37044E+11,2.65067E+11,11851000000,57355000000,45503000000,-0.005161455,-0.00894382,0.075654956,0.084598776,0.003782365,0.01830542,0.014522736,3.13323E+12
1982,-24156000000,-36485000000,2.11157E+11,2.47642E+11,12330000000,64078000000,51750000000,-0.007290507,-0.011011514,0.063729156,0.07474067,0.003721309,0.019339339,0.015618634,3.31335E+12
1983,-57767000000,-67102000000,2.01799E+11,2.68901E+11,9335000000,64307000000,54973000000,-0.016336821,-0.01897681,0.057069853,0.076046663,0.002639989,0.018186369,0.015546663,3.536E+12
1984,-1.09074E+11,-1.12492E+11,2.19926E+11,3.32418E+11,3418000000,71168000000,67748000000,-0.02761944,-0.028484937,0.0556891,0.084174036,0.000865497,0.018020979,0.017154975,3.94918E+12
1985,-1.21879E+11,-1.22173E+11,2.15915E+11,3.38088E+11,294000000,73156000000,72863000000,-0.028575716,-0.028644647,0.05062337,0.079268017,6.89312E-05,0.017152135,0.017083438,4.26513E+12
1986,-1.38539E+11,-1.45081E+11,2.23344E+11,3.68425E+11,6543000000,86690000000,80147000000,-0.030607898,-0.032053245,0.049344159,0.081397404,0.001445568,0.01915272,0.017707153,4.52625E+12
1987,-1.51683E+11,-1.59557E+11,2.50208E+11,4.09765E+11,7874000000,98661000000,90788000000,-0.031815045,-0.033466593,0.052480362,0.085946955,0.001651547,0.020693843,0.019042505,4.76765E+12
1988,-1.14566E+11,-1.26959E+11,3.2023E+11,4.47189E+11,12394000000,1.1092E+11,98525000000,-0.022295395,-0.024707164,0.062319137,0.087026301,0.002411964,0.021585856,0.019173697,5.13855E+12
1989,-93142000000,-1.17749E+11,3.59916E+11,4.77665E+11,24607000000,1.27087E+11,1.0248E+11,-0.016768218,-0.02119818,0.06479515,0.08599333,0.004429962,0.022879286,0.018449324,5.55468E+12
1990,-80865000000,-1.11037E+11,3.87401E+11,4.98438E+11,30173000000,1.47833E+11,1.1766E+11,-0.013708837,-0.018823819,0.065675101,0.084498919,0.005115152,0.02506175,0.019946599,5.89875E+12
1991,-31136000000,-76937000000,4.14083E+11,4.9102E+11,45802000000,1.6426E+11,1.18459E+11,-0.00510998,-0.01262675,0.067958495,0.080585245,0.007516935,0.026958031,0.01944126,6.09318E+12
1992,-39212000000,-96897000000,4.39631E+11,5.36528E+11,57685000000,1.77251E+11,1.19566E+11,-0.006111358,-0.015101812,0.068518371,0.083620183,0.008990454,0.027625326,0.018634872,6.41625E+12
1993,-70311000000,-1.32451E+11,4.56943E+11,5.89394E+11,62141000000,1.8592E+11,1.2378E+11,-0.01037751,-0.019549025,0.067442226,0.086991251,0.009171663,0.02744075,0.018269234,6.77533E+12
1994,-98493000000,-1.65831E+11,5.02859E+11,6.6869E+11,67338000000,2.00395E+11,1.33057E+11,-0.013723709,-0.023106377,0.070066812,0.093173189,0.009382668,0.027922417,0.018539749,7.17685E+12
1995,-96384000000,-1.7417E+11,5.75204E+11,7.49374E+11,77786000000,2.19183E+11,1.41397E+11,-0.01274849,-0.023037065,0.076080908,0.099117973,0.010288575,0.028990831,0.018702255,7.56043E+12
1996,-1.04065E+11,-1.91E+11,6.12113E+11,8.03113E+11,86935000000,2.39489E+11,1.52554E+11,-0.013087756,-0.024021154,0.076982515,0.101003669,0.010933398,0.030119383,0.019185985,7.95133E+12
1997,-1.08273E+11,-1.98428E+11,6.78366E+11,8.76794E+11,90155000000,2.56087E+11,1.65932E+11,-0.012811819,-0.023479755,0.080270263,0.103750018,0.010667937,0.030302478,0.019634541,8.45103E+12
1998,-1.6614E+11,-2.48221E+11,6.70416E+11,9.18637E+11,82081000000,2.62758E+11,1.80677E+11,-0.018603037,-0.027793815,0.075067855,0.10286167,0.009190778,0.029421552,0.020230774,8.9308E+12
1999,-2.55809E+11,-3.37068E+11,6.98524E+11,1.03559E+12,81258000000,2.78001E+11,1.96742E+11,-0.026985139,-0.035557103,0.073686881,0.109243984,0.008571858,0.02932616,0.020754197,9.47963E+12
2000,-3.69686E+11,-4.46783E+11,7.8494E+11,1.23172E+12,77096000000,2.98023E+11,2.20927E+11,-0.036540799,-0.044161282,0.077585666,0.121746849,0.007620384,0.029457427,0.021837043,1.01171E+13
2001,-3.60373E+11,-4.2237E+11,7.31331E+11,1.1537E+12,61997000000,2.84035E+11,2.22039E+11,-0.034237357,-0.040127402,0.069480345,0.109607747,0.005890046,0.02698484,0.021094889,1.05257E+13
2002,-4.20666E+11,-4.75245E+11,6.98036E+11,1.17328E+12,54579000000,2.88059E+11,2.3348E+11,-0.038846695,-0.04388683,0.06446062,0.108347451,0.005040136,0.026601009,0.021560873,1.08289E+13
2003,-4.96243E+11,-5.41643E+11,7.30446E+11,1.27209E+12,45401000000,2.9774E+11,2.5234E+11,-0.043998049,-0.048023318,0.064763028,0.112786346,0.004025357,0.026398315,0.022373047,1.12788E+13
2004,-6.10838E+11,-6.64766E+11,8.23584E+11,1.48835E+12,53927000000,3.44536E+11,2.90609E+11,-0.050782875,-0.055266255,0.068469812,0.123735984,0.004483297,0.028643484,0.024160187,1.20284E+13
2005,-7.16542E+11,-7.82804E+11,9.13016E+11,1.69582E+12,66262000000,3.78487E+11,3.12225E+11,-0.055805669,-0.060966281,0.071107442,0.132073723,0.005160612,0.029477295,0.024316683,1.284E+13
2006,-7.63533E+11,-8.37289E+11,1.04091E+12,1.87819E+12,73756000000,4.23086E+11,3.49329E+11,-0.055990834,-0.061399454,0.076330871,0.137730324,0.00540862,0.031025428,0.025616734,1.36368E+13
2007,-7.10997E+11,-8.21196E+11,1.16515E+12,1.98635E+12,1.10199E+11,4.95664E+11,3.85464E+11,-0.049701388,-0.057404717,0.081448477,0.138853193,0.007703328,0.034648795,0.026945396,1.43054E+13
2008,-7.1235E+11,-8.32492E+11,1.3088E+12,2.14129E+12,1.20142E+11,5.40791E+11,4.2065E+11,-0.048142898,-0.05626248,0.088452564,0.144715044,0.008119582,0.03654839,0.028428876,1.47966E+13
2009,-3.94771E+11,-5.09694E+11,1.07033E+12,1.58003E+12,1.14923E+11,5.22461E+11,4.07538E+11,-0.027287123,-0.035230762,0.073982775,0.109213537,0.007943638,0.036113235,0.028169596,1.44673E+13
2010,-5.03087E+11,-6.48671E+11,1.29028E+12,1.93895E+12,1.45584E+11,5.82041E+11,4.36456E+11,-0.033799616,-0.043580594,0.086686665,0.13026726,0.009780979,0.039104096,0.02932305,1.48844E+13
2011,-5.54522E+11,-7.40999E+11,1.49889E+12,2.23989E+12,1.86477E+11,6.44665E+11,4.58188E+11,-0.035853044,-0.047909857,0.096911685,0.144821542,0.012056813,0.041681309,0.029624495,1.54665E+13
2012,-5.25906E+11,-7.41119E+11,1.56263E+12,2.30375E+12,2.15213E+11,6.84823E+11,4.6961E+11,-0.032645858,-0.046005304,0.097000979,0.143006284,0.013359446,0.042510704,0.029151258,1.61094E+13
2013,-4.46861E+11,-7.00539E+11,1.59371E+12,2.29425E+12,2.53678E+11,7.19413E+11,4.65736E+11,-0.026814261,-0.042036418,0.095631756,0.137668174,0.015222157,0.043168967,0.027946871,1.66651E+13
2014,-4.83952E+11,-7.49917E+11,1.63556E+12,2.38548E+12,2.65965E+11,7.57051E+11,4.91086E+11,-0.027860047,-0.043171064,0.094155747,0.137326811,0.015311017,0.043581753,0.028270736,1.73708E+13
2015,-4.90776E+11,-7.61868E+11,1.51138E+12,2.27325E+12,2.71092E+11,7.69397E+11,4.98305E+11,-0.027135498,-0.042124446,0.083565772,0.125690218,0.014988949,0.042540732,0.027551783,1.80861E+13
2016,-4.79458E+11,-7.49801E+11,1.45739E+12,2.2072E+12,2.70343E+11,7.83431E+11,5.13088E+11,-0.02586614,-0.040450795,0.07862447,0.119075319,0.014584656,0.04226509,0.027680435,1.85361E+13
2017,-5.10344E+11,-7.99343E+11,1.557E+12,2.35635E+12,2.88999E+11,8.37474E+11,5.48475E+11,-0.026517369,-0.041533697,0.080901554,0.1224352,0.015016328,0.043514976,0.028498648,1.92457E+13
2018,-5.78594E+11,-8.78749E+11,1.67691E+12,2.55566E+12,3.00155E+11,8.65549E+11,5.65395E+11,-0.02849943,-0.04328397,0.082598617,0.125882588,0.01478454,0.042633786,0.027849295,2.0302E+13
2019,-5.59676E+11,-8.5726E+11,1.6551E+12,2.51236E+12,2.97584E+11,8.91177E+11,5.93594E+11,-0.026450779,-0.04051486,0.078221384,0.118736244,0.014064081,0.042117807,0.028053773,2.11592E+13
2020,-6.53989E+11,-9.13885E+11,1.43222E+12,2.3461E+12,2.59896E+11,7.26433E+11,4.66537E+11,-0.031052282,-0.043392495,0.068003647,0.111396142,0.012340213,0.034492021,0.022151807,2.10609E+13
2021,-8.45047E+11,-1.0903E+12,1.76136E+12,2.85166E+12,2.45248E+11,7.95273E+11,5.50025E+11,-0.037302372,-0.048128242,0.07775077,0.125879012,0.010825826,0.03510523,0.024279404,2.2654E+13
2022,-9.45319E+11,-1.19103E+12,2.08585E+12,3.27688E+12,2.4571E+11,9.26008E+11,6.80298E+11,-0.037812155,-0.047640398,0.083432545,0.131072943,0.009828243,0.037039727,0.027211485,2.50004E+13